model,split,rf_mape,xgboost_mape,linreg_mape
autoregressive_baseline,random_all,28.818541249843133,27.16132240606633,97.60701626504216
autoregressive_baseline,train_test_high,14.652523258027344,17.08746768064529,22.296039120659263
autoregressive_baseline,train_test_low,25.934118192797257,23.249584216173904,64.50992431158495
autoregressive_baseline_data_used,random_all,28.87273039134746,27.154700397319665,117.68283572740572
autoregressive_baseline_data_used,train_test_high,16.003787553505326,17.08746768064529,22.59624585664955
autoregressive_baseline_data_used,train_test_low,26.727799357694472,22.979334725787634,88.63186461478698
fb_naive,random_all,225.81663692796127,219.77116709410015,310.9399691702505
fb_naive,train_test_high,58.687745720877544,58.007518280950606,206.16529846098828
fb_naive,train_test_low,312.0885813288505,294.21916464544853,322.35387089531275
fb_naive_data_used,random_all,219.9364117280711,190.88214261386491,616.8120013779633
fb_naive_data_used,train_test_high,59.04983729742541,57.16827958285417,190.7422446041109
fb_naive_data_used,train_test_low,301.5231481949915,262.82614543224827,374.4369813767331
autoregressive_plus_fb,random_all,23.58728848920388,16.455540275252165,91.98927695414332
autoregressive_plus_fb,train_test_high,15.058073716298328,17.129832420685933,22.652096681032607
autoregressive_plus_fb,train_test_low,23.52850680987679,26.094515952074005,40.53309466809476
autoregressive_plus_fb_data_used,random_all,23.534185182156754,16.367746518115258,115.63878612804751
autoregressive_plus_fb_data_used,train_test_high,16.272488593035156,17.129832420685933,23.46550550286978
autoregressive_plus_fb_data_used,train_test_low,23.841857396931914,26.172107512997833,72.47093153178972
fb_age_sex_normalized,random_all,234.9389277978884,175.23503546544256,431.7296545095199
fb_age_sex_normalized,train_test_high,48.160767260938016,52.69560887125592,227.43864851972975
fb_age_sex_normalized,train_test_low,311.5990789871427,224.80760422177278,720.8596553365373
fb_age_sex_normalized_data_used,random_all,240.62446340647995,178.57804372454365,613.9641306526987
fb_age_sex_normalized_data_used,train_test_high,50.31006457737954,52.530471492495835,227.6403613971675
fb_age_sex_normalized_data_used,train_test_low,301.52885955071145,223.6220057792585,777.8465324366528
autoregressive_with_fb_normalized,random_all,21.889963167205696,21.755733490342998,54.8477406827559
autoregressive_with_fb_normalized,train_test_high,35.75017060816745,33.23389707814081,37.012724825236624
autoregressive_with_fb_normalized,train_test_low,26.812689783037,27.351536449184067,193.87170796381693
autoregressive_with_fb_normalized_data_used,random_all,22.740218722210574,22.09601690138623,70.47186935916885
autoregressive_with_fb_normalized_data_used,train_test_high,41.14886813000601,33.23389707814081,37.01255401387392
autoregressive_with_fb_normalized_data_used,train_test_low,27.08566260452029,28.03805910193089,206.48408055189878
all_preds,random_all,25.277265970545734,24.20104498257175,81.37025521721236
all_preds,train_test_high,14.869987898033562,27.65986029392772,20.694604102299845
all_preds,train_test_low,35.56576064855867,38.718526094862206,155.72790558726606
autoregression_subgroups,random_all,23.846465305266143,27.73974519387906,214.02390303868756
autoregression_subgroups_added,random_all,14.165426012476553,17.227270406019873,143.4597215195044
autoregression_subgroups,train_test_high,18.539559125958277,18.480413488330004,85.95371385502611
autoregression_subgroups_added,train_test_high,12.18722860412382,11.156360168513107,25.048447463218384
