country_code,country_name,data_used,un_development_lvl,oecd_member,age_sex_group,total_pop,migrant_pop_2015,migrant_pop_2017,migrant_pop_2019,fb_expats,fb_users,fb_penetration
4,Afghanistan,B,Less Developed Regions,FALSE,female_age10,552871,3695,814,936,1800,30000,0.05426220583101664
4,Afghanistan,B,Less Developed Regions,FALSE,male_age10,478367,7395,957,1106,4200,100000,0.20904452021146944
8,Albania,B,More Developed Regions,FALSE,female_age10,220390,7170,1193,2320,1000,25000,0.11343527383275104
8,Albania,B,More Developed Regions,FALSE,male_age10,202779,6003,743,1410,1300,46000,0.22684794776579428
12,Algeria,B R,Less Developed Regions,FALSE,female_age10,1504101,16382,14760,12246,9900,160000,0.10637583513341192
12,Algeria,B R,Less Developed Regions,FALSE,male_age10,1452738,16533,12141,15871,3400,330000,0.22715727130425445
24,Angola,B R,Less Developed Regions,FALSE,female_age10,399128,3293,17699,16843,8600,54000,0.135294942975687
24,Angola,B R,Less Developed Regions,FALSE,male_age10,321122,2953,17995,17011,14000,96000,0.29895180025037216
28,Antigua & Barbuda,B,Less Developed Regions,FALSE,female_age10,4919,1081,1681,1163,1000,1500,0.3049400284610693
28,Antigua & Barbuda,B,Less Developed Regions,FALSE,male_age10,4221,890,1397,996,1000,1300,0.3079838900734423
31,Azerbaijan,B R,Less Developed Regions,FALSE,female_age10,396699,15617,26328,28628,1700,29000,0.07310328485829307
31,Azerbaijan,B R,Less Developed Regions,FALSE,male_age10,286838,10332,19532,21366,2800,44000,0.15339669081502452
32,Argentina,B,Less Developed Regions,FALSE,female_age10,3038916,258338,227062,195109,53000,1300000,0.4277841177577794
32,Argentina,B,Less Developed Regions,FALSE,male_age10,2098269,206294,181840,145726,45000,850000,0.4050958194588015
36,Australia,B,More Developed Regions,TRUE,female_age10,2191582,674109,730500,750195,150000,1000000,0.4562913913328363
36,Australia,B,More Developed Regions,TRUE,male_age10,1942726,634568,681029,716114,130000,720000,0.37061325168860665
40,Austria,B,More Developed Regions,TRUE,female_age10,976831,118102,151497,118925,14000,110000,0.11260903882043055
40,Austria,B,More Developed Regions,TRUE,male_age10,752758,86636,113245,89678,15000,110000,0.14612930051889186
44,Bahamas,B,Less Developed Regions,FALSE,female_age10,17197,3152,2653,3235,1000,6400,0.3721579345234634
44,Bahamas,B,Less Developed Regions,FALSE,male_age10,13275,3376,2860,3518,1900,4500,0.3389830508474576
48,Bahrain,C,Less Developed Regions,FALSE,female_age10,20431,3781,5716,3657,3400,6400,0.3132494738387744
48,Bahrain,C,Less Developed Regions,FALSE,male_age10,24687,6218,9428,6327,1400,12000,0.48608579414266617
50,Bangladesh,B R,Less Developed Regions,FALSE,female_age10,4267370,8800,19846,36045,4700,180000,0.042180546800488355
50,Bangladesh,B R,Less Developed Regions,FALSE,male_age10,4340953,32954,22585,39944,11000,350000,0.08062745668980982
51,Armenia,B R,Less Developed Regions,FALSE,female_age10,213227,37281,37869,37805,2700,51000,0.23918171713713554
51,Armenia,B R,Less Developed Regions,FALSE,male_age10,136519,20214,21407,21842,1800,32000,0.23439960738065763
52,Barbados,B,Less Developed Regions,FALSE,female_age10,26733,2844,2129,2764,1200,7000,0.26184865147944486
52,Barbados,B,Less Developed Regions,FALSE,male_age10,21263,1808,1343,1817,1000,5700,0.2680712975591403
56,Belgium,B,More Developed Regions,TRUE,female_age10,1248443,91583,66110,145066,24000,390000,0.3123891118777549
56,Belgium,B,More Developed Regions,TRUE,male_age10,983050,80962,57903,118964,1200,340000,0.3458623671227303
64,Bhutan,B,Less Developed Regions,FALSE,female_age10,21629,471,800,328,1000,4900,0.22654769060058255
64,Bhutan,B,Less Developed Regions,FALSE,male_age10,26246,849,1856,704,55000,6100,0.2324163682084889
68,Bolivia,B,Less Developed Regions,FALSE,female_age10,469981,4466,4065,3545,3600,87000,0.1851138663052336
68,Bolivia,B,Less Developed Regions,FALSE,male_age10,404006,4498,4115,3636,5000,120000,0.29702529170358855
70,Bosnia & Herzegovina,I R,More Developed Regions,FALSE,female_age10,336816,2405,2002,2143,2500,39000,0.11579022374234003
70,Bosnia & Herzegovina,I R,More Developed Regions,FALSE,male_age10,250968,1836,1575,1693,3200,43000,0.17133658474387173
72,Botswana,B,Less Developed Regions,FALSE,female_age10,63623,6253,3453,2284,4800,39000,0.6129858698898197
72,Botswana,B,Less Developed Regions,FALSE,male_age10,42483,5830,3935,2535,3400,39000,0.9180142645293411
