country_code,country_name,data_used,total_pop,migrant_pop_2015,migrant_pop_2017,migrant_pop_2019,fb_expats,fb_users,fb_penetration
4,Afghanistan,B,22647495,307483,86101,96536,210000,4000000,0.17661997496853404
8,Albania,B,2381787,49732,30617,28036,60000,1500000,0.6297792371861968
12,Algeria,B R,30352151,203309,206443,222067,1600000,23000000,0.757771665013132
24,Angola,B R,17617839,89623,346827,554464,280000,2600000,0.14757769099831142
28,Antigua & Barbuda,B,76531,25091,25939,27480,20000,63000,0.8231958291411323
31,Azerbaijan,B R,7754916,242976,235917,230771,150000,4000000,0.5158018474990573
32,Argentina,B,34152047,1953962,2033386,2009155,1700000,34000000,0.9955479388980696
36,Australia,B,20580333,6356256,6624087,7143715,3100000,17000000,0.8260313377825325
40,Austria,B,7708380,1408540,1588827,1667846,700000,4400000,0.5708073551122285
44,Bahamas,B,308301,52366,55059,57434,36000,250000,0.810895845294047
48,Bahrain,C,1390494,625871,632292,696744,670000,1400000,1.0068364192869586
50,Bangladesh,B R,120627495,1205473,1287597,1620032,950000,39000000,0.3233093748651582
51,Armenia,B R,2345922,178295,178385,181057,70000,1600000,0.6820346115514497
52,Barbados,B,239206,30341,30576,32243,23000,190000,0.7942944574968855
56,Belgium,B,9615444,1152790,1067318,1833683,850000,7500000,0.7799951827497513
64,Bhutan,B,579521,47606,48063,50598,26000,440000,0.7592477235510016
68,Bolivia,B,8147430,93762,106909,105708,390000,7100000,0.871440441955316
70,Bosnia & Herzegovina,I R,2804363,32196,31827,31473,110000,1700000,0.6061982703380411
72,Botswana,B,1566092,133517,134323,97980,120000,1000000,0.6385320913458469
76,Brazil,B,168540057,641992,655097,717045,1500000,140000000,0.8306630630841664
84,Belize,B R,281518,47318,54867,56399,27000,230000,0.8169992682528293
90,Solomon Islands,B,411917,2156,2132,2132,8200,110000,0.26704408897909043
96,Brunei,B,339819,86996,92073,104810,120000,410000,1.2065246498871458
100,Bulgaria,B,5928450,88186,108833,117991,110000,3900000,0.6578447992308276
104,Myanmar (Burma),C,40543133,60741,63175,65248,840000,26000000,0.6412923243993008
108,Burundi,B R,6509974,198256,225801,241364,50000,590000,0.09063016227100139
112,Belarus,B,7820225,1043560,1055684,1034361,180000,3500000,0.4475574551883098
116,Cambodia,B,11548640,43367,71531,73473,350000,10000000,0.865902824921376
120,Cameroon,B,15379629,199813,390736,363016,250000,3900000,0.25358218979144426
124,Canada,B,31788235,7335034,7337927,7493331,4000000,25000000,0.7864544854409187
132,Cape Verde,B,399859,13282,14168,14790,33000,260000,0.6502292057950427
140,Central African Republic,C,2726801,60423,69325,71198,19000,120000,0.04400761184992964
144,Sri Lanka,B R,16341554,26379,28235,28235,150000,7100000,0.434475203521036
148,Chad,B R,8789432,253037,337529,405696,47000,410000,0.046646927810579795
152,Chile,B,15438493,383182,399490,846096,1400000,15000000,0.9715974221059012
156,China,C,1184393403,803390,821043,859699,600000,3400000,0.0028706677961798815
170,Colombia,B,39595244,93152,104800,888261,2200000,36000000,0.9092001049418965
174,Comoros,B,530281,10666,11161,11051,20000,180000,0.3394426728470377
175,Mayotte,B,166407,65588,64372,64879,13000,80000,0.4807490069528325
178,Congo - Brazzaville,B,3240760,288639,308202,320007,98000,780000,0.24068428393339833
180,Congo - Kinshasa,B R,48546588,402480,676195,832759,200000,3500000,0.07209569496418575
188,Costa Rica,B R,4033110,376699,386629,398135,370000,3600000,0.8926114090614935
191,Croatia,B R,3508298,562773,541881,508721,140000,2100000,0.5985808503154522
196,Cyprus,B,1007213,182215,174891,178481,210000,1000000,0.9928386547830499
203,Czechia,C,9021723,390109,417158,490981,310000,5700000,0.6318083585585591
204,Benin,C B R,7038177,181391,195798,321316,220000,1400000,0.1989151452144497
208,Denmark,B,4849129,532373,607496,667087,310000,4000000,0.8248904081537117
214,Dominican Republic,B,7871311,359189,368615,519724,560000,6400000,0.8130792951771312
218,Ecuador,B R,12810285,266282,284979,285265,780000,13000000,1.0148095846423402
222,El Salvador,B R,4761482,35289,36696,37269,240000,3900000,0.8190727172758397
226,Equatorial Guinea,C,886976,8964,220096,224672,41000,120000,0.13529114654736993
231,Ethiopia,B R,69072836,651301,763162,756635,430000,6900000,0.09989455189012364
233,Estonia,B,1107685,198719,187903,185027,25000,770000,0.6951434749048692
242,Fiji,B,636377,11255,11659,11633,48000,550000,0.8642675646668563
246,Finland,B,4661677,285820,311549,347246,160000,3200000,0.6864482459852967
250,France,B,53750350,7341419,7455645,7847988,3700000,45000000,0.8372038507656229
254,French Guiana,B,203606,92513,100638,106730,31000,120000,0.5893735940984057
258,French Polynesia,B,218480,26423,27366,28370,22000,190000,0.8696448187477115
262,Djibouti,B R,702349,83271,97461,98928,46000,230000,0.3274725243433108
266,Gabon,C,1396332,208644,222285,325757,170000,780000,0.5586064059263842
268,Georgia,B,3182550,152015,65177,67536,120000,2900000,0.9112189910606275
270,Gambia,B,1354534,143524,159772,175037,97000,400000,0.2953045106287476
275,Palestinian Territories,B,3144455,222248,231503,231503,420000,2700000,0.8586543614076207
276,Germany,B,72091396,11567880,11677425,12499078,3700000,45000000,0.6242076377602676
288,Ghana,B,19535203,276090,308912,389821,520000,6900000,0.35320851285753213
296,Kiribati,B,76545,2538,2525,2389,2300,46000,0.6009536873734405
300,Greece,B,8999692,1191500,1165929,1171824,550000,6300000,0.7000239563753959
308,Grenada,B,85765,5180,5624,6879,9200,69000,0.8045239899725996
312,Guadeloupe,B,326419,83671,80753,84772,37000,230000,0.7046158465040332
316,Guam,B,128513,67381,69896,72888,55000,150000,1.1671970929011073
320,Guatemala,B R,11942079,63793,68168,70567,340000,7900000,0.6615263556705663
324,Guinea,C B R,7479262,163304,91301,95294,110000,1600000,0.21392484980469997
328,Guyana,B,568432,12935,13086,14367,37000,450000,0.7916514200467251
332,Haiti,B,7699685,32477,32507,14036,87000,2100000,0.2727384302085085
340,Honduras,B R,6874968,23115,32907,27920,160000,4100000,0.5963664121782094
344,Hong Kong SAR China,B,6546937,2770251,2775270,2838284,940000,5700000,0.8706361463383564
348,Hungary,B R,8268423,413574,456702,462171,190000,6200000,0.7498406890890802
352,Iceland,B,274967,32445,36832,46549,28000,280000,1.0183040146635778
356,India,B R,1018986799,5077689,4980365,4912683,4600000,350000000,0.34347844382623843
360,Indonesia,B R,202582516,271504,268625,317106,3100000,150000000,0.7404390218946634
368,Iraq,C R,25053092,239597,334133,279288,1100000,22000000,0.8781351220041024
372,Ireland,B,3909142,657415,712024,727912,400000,3300000,0.8441750133405234
376,Israel,B R,6246836,1961695,1855169,1897633,840000,5900000,0.9444781326098524
380,Italy,B,52609476,5451656,5587596,5978368,3000000,36000000,0.6842873705870023
384,Côte d’Ivoire,C B,15429056,1903472,1950131,2333974,610000,5400000,0.3499890077526454
388,Jamaica,B,2269490,15557,17840,17726,87000,1400000,0.6168786819946331
392,Japan,C,110731963,1862528,2115498,2298513,1300000,45000000,0.4063867268387539
398,Kazakhstan,B,13304390,3331861,3335200,3447619,220000,10000000,0.7516316043050452
400,Jordan,C R,6851018,1835546,1934467,2003642,990000,5700000,0.8319931432087903
404,Kenya,B R,33021167,682714,720171,792250,580000,9800000,0.2967793355092508
410,South Korea,C,44838588,1283997,1103412,1114745,1000000,21000000,0.46834659467867273
414,Kuwait,C R,3354007,2464370,2625694,2548446,2200000,4200000,1.252233522470287
417,Kyrgyzstan,B,4394115,189618,188642,191704,76000,2600000,0.591700490314887
418,Laos,C R,4951215,19515,40144,43752,220000,3000000,0.6059118822349666
422,Lebanon,B R,5114389,1223436,1242460,1334080,860000,3800000,0.7430017544617744
426,Lesotho,C R,1451633,4912,5779,6070,40000,430000,0.29621812124689917
428,Latvia,B,1576261,258417,250174,230373,26000,1100000,0.6978539721530889
430,Liberia,B,3015781,73064,75145,80795,66000,590000,0.19563754795192356
434,Libya,C,4962117,629823,635277,686479,760000,5400000,1.0882451985714967
440,Lithuania,B,2300936,131255,112151,106091,35000,1800000,0.7822903374974358
442,Luxembourg,B,528589,230580,244807,271757,120000,390000,0.7378133105304878
446,Macao SAR China,B,556133,333938,339245,382108,120000,400000,0.7192524090460376
450,Madagascar,C,16597292,27436,28803,29794,62000,2500000,0.15062698179919953
454,Malawi,B R,10905594,174682,194434,216748,40000,580000,0.05318371470641581
458,Malaysia,C R,24776783,2374658,2504995,3110561,1700000,26000000,1.0493694843273238
462,Maldives,C,434596,80878,64755,66625,110000,360000,0.8283555301935591
466,Mali,B R,10731463,258031,304298,403965,230000,1900000,0.17704948523794006
470,Malta,B,378072,38675,42726,79061,64000,400000,1.057999534480205
474,Martinique,B,316513,52113,51846,52163,28000,220000,0.6950741359754575
478,Mauritania,C R,2804438,77821,114929,113163,110000,820000,0.29239369884447436
480,Mauritius,C,1058305,27212,26396,27373,92000,870000,0.822069252247698
484,Mexico,B R,95622630,516915,554146,500213,3400000,92000000,0.9621153486366145
496,Mongolia,C,2258976,16160,16635,18231,65000,2300000,1.0181604408369103
498,Moldova,B,3393035,124041,118914,91666,56000,1500000,0.44208208874945293
