iso,country,age_sex_group,expat_pop,total_pop
20,Andorra,total,19000,51000
784,United Arab Emirates,total,6400000,10000000
4,Afghanistan,total,210000,4000000
28,Antigua,total,20000,63000
660,Anguilla,total,4300,11000
8,Albania,total,60000,1500000
51,Armenia,total,70000,1600000
24,Angola,total,280000,2600000
32,Argentina,total,1700000,34000000
16,American Samoa,total,8900,29000
40,Austria,total,700000,4400000
36,Australia,total,3100000,17000000
533,Aruba,total,32000,95000
31,Azerbaijan,total,150000,4000000
70,Bosnia and Herzegovina,total,110000,1700000
52,Barbados,total,23000,190000
50,Bangladesh,total,950000,39000000
56,Belgium,total,850000,7500000
854,Burkina Faso,total,150000,1800000
100,Bulgaria,total,110000,3900000
48,Bahrain,total,670000,1400000
108,Burundi,total,50000,590000
204,Benin,total,220000,1400000
652,Saint Barthélemy,total,2500,5400
60,Bermuda,total,11000,44000
96,Brunei,total,120000,410000
68,Bolivia,total,390000,7100000
535,"Bonaire, Sint Eustatius and Saba",total,8600,19000
76,Brazil,total,1500000,140000000
44,The Bahamas,total,36000,250000
64,Bhutan,total,26000,440000
72,Botswana,total,120000,1000000
112,Belarus,total,180000,3500000
84,Belize,total,27000,230000
124,Canada,total,4000000,25000000
180,Democratic Republic of the Congo,total,200000,3500000
140,Central African Republic,total,19000,120000
178,Republic of the Congo,total,98000,780000
756,Switzerland,total,1000000,4600000
384,Côte d'Ivoire,total,610000,5400000
184,Cook Islands,total,3700,11000
152,Chile,total,1400000,15000000
120,Cameroon,total,250000,3900000
156,China,total,600000,3400000
170,Colombia,total,2200000,36000000
188,Costa Rica,total,370000,3600000
132,Cape Verde,total,33000,260000
531,Curaçao,total,31000,120000
196,Cyprus,total,210000,1000000
203,Czech Republic,total,310000,5700000
276,Germany,total,3700000,45000000
262,Djibouti,total,46000,230000
208,Denmark,total,310000,4000000
212,Dominica,total,7200,39000
214,Dominican Republic,total,560000,6400000
12,Algeria,total,1600000,23000000
218,Ecuador,total,780000,13000000
233,Estonia,total,25000,770000
818,Egypt,total,1400000,43000000
724,Spain,total,3100000,34000000
231,Ethiopia,total,430000,6900000
246,Finland,total,160000,3200000
242,Fiji,total,48000,550000
238,Falkland Islands,total,1100,3000
583,Federated States of Micronesia,total,5200,37000
234,Faroe Islands,total,2100,37000
250,France,total,3700000,45000000
266,Gabon,total,170000,780000
826,United Kingdom,total,4100000,47000000
308,Grenada,total,9200,69000
268,Georgia,total,120000,2900000
254,French Guiana,total,31000,120000
831,Guernsey,total,8500,41000
288,Ghana,total,520000,6900000
292,Gibraltar,total,4700,25000
304,Greenland,total,2500,41000
270,The Gambia,total,97000,400000
324,Guinea,total,110000,1600000
312,Guadeloupe,total,37000,230000
226,Equatorial Guinea,total,41000,120000
300,Greece,total,550000,6300000
320,Guatemala,total,340000,7900000
316,Guam,total,55000,150000
624,Guinea-Bissau,total,35000,250000
328,Guyana,total,37000,450000
344,Hong Kong,total,940000,5700000
340,Honduras,total,160000,4100000
191,Croatia,total,140000,2100000
332,Haiti,total,87000,2100000
348,Hungary,total,190000,6200000
360,Indonesia,total,3100000,150000000
372,Ireland,total,400000,3300000
376,Israel,total,840000,5900000
833,Isle Of Man,total,15000,57000
356,India,total,4600000,350000000
368,Iraq,total,1100000,22000000
352,Iceland,total,28000,280000
380,Italy,total,3000000,36000000
832,Jersey,total,35000,70000
388,Jamaica,total,87000,1400000
400,Jordan,total,990000,5700000
392,Japan,total,1300000,45000000
404,Kenya,total,580000,9800000
417,Kyrgyzstan,total,76000,2600000
116,Cambodia,total,350000,10000000
296,Kiribati,total,2300,46000
174,Comoros,total,20000,180000
659,Saint Kitts and Nevis,total,8700,38000
410,South Korea,total,1000000,21000000
414,Kuwait,total,2200000,4200000
136,Cayman Islands,total,29000,57000
398,Kazakhstan,total,220000,10000000
418,Laos,total,220000,3000000
422,Lebanon,total,860000,3800000
662,St. Lucia,total,10000,100000
438,Liechtenstein,total,3600,15000
144,Sri Lanka,total,150000,7100000
430,Liberia,total,66000,590000
426,Lesotho,total,40000,430000
440,Lithuania,total,35000,1800000
442,Luxembourg,total,120000,390000
428,Latvia,total,26000,1100000
434,Libya,total,760000,5400000
504,Morocco,total,1100000,19000000
492,Monaco,total,3200,12000
498,Moldova,total,56000,1500000
499,Montenegro,total,50000,400000
663,Saint Martin,total,6900,18000
450,Madagascar,total,62000,2500000
584,Marshall Islands,total,2700,21000
807,Macedonia,total,69000,1100000
466,Mali,total,230000,1900000
104,Myanmar,total,840000,26000000
496,Mongolia,total,65000,2300000
446,Macau,total,120000,400000
580,Northern Mariana Islands,total,15000,35000
474,Martinique,total,28000,220000
478,Mauritania,total,110000,820000
500,Montserrat,total,1200,2900
470,Malta,total,64000,400000
480,Mauritius,total,92000,870000
462,Maldives,total,110000,360000
454,Malawi,total,40000,580000
484,Mexico,total,3400000,92000000
458,Malaysia,total,1700000,26000000
508,Mozambique,total,160000,2300000
516,Namibia,total,47000,750000
540,New Caledonia,total,36000,180000
562,Niger,total,82000,530000
566,Nigeria,total,1600000,29000000
558,Nicaragua,total,140000,3100000
528,Netherlands,total,910000,11000000
578,Norway,total,370000,3700000
524,Nepal,total,560000,11000000
520,Nauru,total,5500,8200
554,New Zealand,total,680000,3500000
512,Oman,total,1200000,2900000
591,Panama,total,290000,2600000
604,Peru,total,1200000,24000000
258,French Polynesia,total,22000,190000
598,Papua New Guinea,total,42000,790000
608,Philippines,total,2800000,77000000
586,Pakistan,total,1500000,41000000
616,Poland,total,410000,19000000
630,Puerto Rico,total,160000,2100000
275,Palestine,total,420000,2700000
620,Portugal,total,590000,7200000
585,Palau,total,7200,17000
600,Paraguay,total,200000,3900000
634,Qatar,total,1900000,2900000
638,Réunion,total,81000,570000
642,Romania,total,200000,11000000
688,Serbia,total,380000,3800000
643,Russia,total,3000000,57000000
646,Rwanda,total,78000,730000
682,Saudi Arabia,total,3600000,26000000
90,Solomon Islands,total,8200,110000
690,Seychelles,total,20000,70000
752,Sweden,total,780000,7300000
702,Singapore,total,1600000,4600000
705,Slovenia,total,100000,1100000
703,Slovakia,total,93000,2900000
694,Sierra Leone,total,58000,770000
674,San Marino,total,7700,14000
686,Senegal,total,320000,3400000
706,Somalia,total,240000,1900000
740,Suriname,total,43000,360000
728,South Sudan,total,97000,410000
