country_code,country_name,year,age_group,sex,migrant_pop,total_pop_2019,data_used,un_development_lvl,oecd_member,total_pop_2020
4,Afghanistan,2019,0-4,both sexes,19045,5638782.999999999,B,Less Developed Regions,FALSE,5672509
4,Afghanistan,2019,5-9,both sexes,17964,5401913.999999999,B,Less Developed Regions,FALSE,5416223
4,Afghanistan,2019,10-14,both sexes,16217,5116500,B,Less Developed Regions,FALSE,5192114
4,Afghanistan,2019,15-19,both sexes,12052,4519175,B,Less Developed Regions,FALSE,4629445
4,Afghanistan,2019,20-24,both sexes,11365,3794633.0000000005,B,Less Developed Regions,FALSE,3926485
4,Afghanistan,2019,25-29,both sexes,12181,2984381.0000000005,B,Less Developed Regions,FALSE,3109386
4,Afghanistan,2019,30-34,both sexes,12288,2393883,B,Less Developed Regions,FALSE,2478259
4,Afghanistan,2019,35-39,both sexes,11562,1987591.0000000002,B,Less Developed Regions,FALSE,2056387.0000000002
4,Afghanistan,2019,40-44,both sexes,10394,1592929,B,Less Developed Regions,FALSE,1658723
4,Afghanistan,2019,45-49,both sexes,8906,1253563,B,Less Developed Regions,FALSE,1304736
4,Afghanistan,2019,50-54,both sexes,7071,995266.0000000001,B,Less Developed Regions,FALSE,1032358.9999999999
4,Afghanistan,2019,55-59,both sexes,5280,778503.9999999999,B,Less Developed Regions,FALSE,807839
4,Afghanistan,2019,60-64,both sexes,3395,589538,B,Less Developed Regions,FALSE,612638
4,Afghanistan,2019,65-69,both sexes,1133,431247.00000000006,B,Less Developed Regions,FALSE,444858
4,Afghanistan,2019,70-74,both sexes,439,299794.99999999994,B,Less Developed Regions,FALSE,312451
4,Afghanistan,2019,75+,both sexes,470,264052,B,Less Developed Regions,FALSE,273929
4,Afghanistan,2019,Total,both sexes,149762,38041754.000000015,B,Less Developed Regions,FALSE,38928341
4,Afghanistan,2019,0-4,male,9653,2891330,B,Less Developed Regions,FALSE,2907406
4,Afghanistan,2019,5-9,male,8769,2765393,B,Less Developed Regions,FALSE,2774630
4,Afghanistan,2019,10-14,male,7597,2614937,B,Less Developed Regions,FALSE,2651664
4,Afghanistan,2019,15-19,male,5544,2321520,B,Less Developed Regions,FALSE,2377941
4,Afghanistan,2019,20-24,male,5282,1950650,B,Less Developed Regions,FALSE,2017279
4,Afghanistan,2019,25-29,male,5826,1551331.9999999998,B,Less Developed Regions,FALSE,1610796
4,Afghanistan,2019,30-34,male,6150,1255855,B,Less Developed Regions,FALSE,1299121
4,Afghanistan,2019,35-39,male,6009,1033268.9999999998,B,Less Developed Regions,FALSE,1068167
4,Afghanistan,2019,40-44,male,5556,834401.9999999999,B,Less Developed Regions,FALSE,868020
4,Afghanistan,2019,45-49,male,4838,649694.9999999999,B,Less Developed Regions,FALSE,677226
4,Afghanistan,2019,50-54,male,3848,510215.00000000006,B,Less Developed Regions,FALSE,529188
4,Afghanistan,2019,55-59,male,2879,396316.99999999994,B,Less Developed Regions,FALSE,411379
4,Afghanistan,2019,60-64,male,1917,293294,B,Less Developed Regions,FALSE,305081
4,Afghanistan,2019,65-69,male,618,207686.99999999997,B,Less Developed Regions,FALSE,215637
4,Afghanistan,2019,70-74,male,240,134696,B,Less Developed Regions,FALSE,140254
4,Afghanistan,2019,75+,male,248,119135,B,Less Developed Regions,FALSE,122476
4,Afghanistan,2019,Total,male,74974,19529727,B,Less Developed Regions,FALSE,19976265
4,Afghanistan,2019,0-4,female,9392,2747452,B,Less Developed Regions,FALSE,2765103
4,Afghanistan,2019,5-9,female,9195,2636519,B,Less Developed Regions,FALSE,2641593
4,Afghanistan,2019,10-14,female,8620,2501560,B,Less Developed Regions,FALSE,2540450
4,Afghanistan,2019,15-19,female,6508,2197654,B,Less Developed Regions,FALSE,2251504
4,Afghanistan,2019,20-24,female,6083,1843985,B,Less Developed Regions,FALSE,1909206
4,Afghanistan,2019,25-29,female,6355,1433056,B,Less Developed Regions,FALSE,1498590
